English Wikipedia	English	Latn	en	5
Deutschsprachige Wikipedia	German	Latn	de	4
Wikipédia en français	French	Latn	fr	4
Wikipedia en español	Spanish	Latn	es	4
ウィキペディア日本語版	Japanese	Jpan	ja	4
Nederlandstalige Wikipedia	Dutch	Latn	nl	3
Wikipedia in italiano	Italian	Latn	it	3
Русская Википедия	Russian	Cyrl	ru	3
Svenskspråkiga Wikipedia	Swedish	Latn	sv	3
Polskojęzyczna Wikipedia	Polish	Latn	pl	3
Wikipedia tiếng Việt	Vietnamese	Latn	vi	3
Wikipédia em português	Portuguese	Latn	pt	3
ويكيبيديا العربية	Arabic	Arab	ar	3
中文维基百科	Chinese	Hans/Hant	zh	3
Українська Вікіпедія	Ukrainian	Cyrl	uk	3
Viquipèdia en català	Catalan	Latn	ca	3
Bokmål Wikipedia	Norwegian (Bokmål)	Latn	no	3
Suomenkielinen Wikipedia	Finnish	Latn	fi	3
Česká Wikipedie	Czech	Latn	cs	3
Magyar Wikipédia	Hungarian	Latn	hu	3
한국어 위키백과	Korean	Hang	ko	3
Wikipedia bahasa Indonesia	Indonesian	Latn	id	3
ויקיפדיה העברית	Hebrew	Hebr	he	3
ویکی‌پدیای فارسی	Persian	Perso	fa	3
วิกิพีเดียภาษาไทย	Thai	Thai	th	3
Wikipedya sa Sinugboanon	Cebuano	Latn	ceb	2
Türkçe Vikipedi	Turkish	Latn	tr	2
Wikipedia în română	Romanian	Latn	ro	2
Wikipedia ya Kiswahili	Swahili	Latn	sw	2
Dansk Wikipedia	Danish	Latn	da	2
Vikipedio en Esperanto	Esperanto	Latn	eo	2
Википедија на српском језику	Serbian	Cyrl/Latn	sr	2
Lietuviškoji Vikipedija	Lithuanian	Latn	lt	2
Slovenská Wikipedia	Slovak	Latn	sk	2
Българоезична Уикипедия	Bulgarian	Cyrl	bg	2
Slovenska Wikipedija	Slovene	Latn	sl	2
Euskarazko Wikipedia	Basque	Latn	eu	2
Eestikeelne Vikipeedia	Estonian	Latn	et	2
Hrvatska Wikipedija	Croatian	Latn	hr	2
తెలుగు వికీపీడియా	Telugu(తెలుగు)	Telu	te	2
Nynorsk Wikipedia	Norwegian (Nynorsk)	Latn	nn	2
Galipedia	Galician	Latn	gl	2
Ελληνική Βικιπαίδεια	Greek	Grek	el	2
Simple English Wikipedia	Simple English	Latn	simple	2
Wikipedia Bahasa Melayu	Malay	Latn	ms	2
Wikipedia na bosanskom jeziku	Bosnian	Latn	bs	2
ქართული ვიკიპედია	Georgian	Geor	ka	2
Wikipedia shqip	Albanian	Latn	sq	2
Vicipaedia Latina	Latin	Latn	la	2
हिन्दी विकिपीडिया	Hindi	Deva	hi	2
Azərbaycanca Vikipediya	Azerbaijani	Latn	az	2
বাংলা উইকিপিডিয়া	Bengali	Beng	bn	2
Македонска Википедија	Macedonian	Cyrl	mk	2
Marathi Wikipedia	Marathi	Deva	mr	2
Srpskohrvatska Wikipedija	Serbo-Croatian	Latn/Cyrl	sh	2
Tagalog Wikipedia	Tagalog	Latn	tl	2
Welsh Wikipedia	Welsh	Latn	cy	2
Vikipēdija latviešu valodā	Latvian	Latn	lv	2
Tamil Wikipedia	Tamil	Taml	ta	2
Беларуская Вікіпедыя	Belarusian	Cyrl	be	2
Afrikaanse Wikipedia	Afrikaans	Latn	af	2
Cantonese Wikipedia	Cantonese	Hant	zh-yue	2
Urdu Wikipedia	Urdu	Arab	ur	2
Հայերեն Վիքիպեդիա	Armenian	Armn	hy	2
ಕನ್ನಡ ವಿಕಿಪೀಡಿಯ	Kannada(ಕನ್ನಡ)	Knda	kn	2
Malayalam Wikipedia	Malayalam	Mlym	ml	2
Nepali Wikipedia	Nepali	Deva	ne	2
Uzbek Wikipedia	Uzbek	Latn/Cyrl	uz	2
Waray Wikipedia	Waray	Latn	war	1
Vükiped Volapükik	Volapük	Latn	vo	1
Lombard Wikipedia	Lombard	Latn	lmo	1
Newar Wikipedia	Newar / Nepal Bhasa	Deva	new	1
Haitian Creole Wikipedia	Haitian	Latn	ht	1
বিষ্ণুপ্রিয়া মনিপুরী উইকিপিডিয়া	Bishnupriya Manipuri	Beng	bpy	1
Luxembourgish Wikipedia	Luxembourgish	Latn	lb	1
Icelandic Wikipedia	Icelandic	Latn	is	1
Breton Wikipedia	Breton	Latn	br	1
Ido Wikipedia	Ido	Latn	io	1
Piedmontese Wikipedia	Piedmontese	Latn	pms	1
Sundanese Wikipedia	Sundanese	Latn	su	1
Occitan Wikipedia	Occitan	Latn	oc	1
Javanese Wikipedia	Javanese	Latn	jv	1
Neapolitan Wikipedia	Neapolitan	Latn	nap	1
Low Saxon Wikipedia	Low Saxon	Latn	nds	1
Sicilian Wikipedia	Sicilian	Latn	scn	1
Asturian Wikipedia	Asturian	Latn	ast	1
Kurdish Wikipedia	Kurdish	Latn/Arab	ku	1
Walloon Wikipedia	Walloon	Latn	wa	1
Aragonese Wikipedia	Aragonese	Latn	an	1
Ripuarian Wikipedia	Ripuarian	Latn	ksh	1
Silesian Wikipedia	Silesian	Latn	szl	1
West Frisian Wikipedia	West Frisian	Latn	fy	1
North Frisian Wikipedia	North Frisian	Latn	frr	1
Interlingua Wikipedia	Interlingua	Latn/Arab	ia	1
Vicipéid na Gaeilge	Irish	Latn	ga	1
Yiddish Wikipedia	Yiddish	Hebr	yi	1
Alemannic Wikipedia	Alemannic	Latn	als	1
Amharic Wikipedia	Amharic	Geez	am	1
Aromanian Wikipedia	Aromanian	Latn	roa-rup	1
Banyumasan Wikipedia	Banyumasan	Latn	map-bms	1
Bhojpuri Wikipedia	Bhojpuri	Deva	bh	1
Corsican Wikipedia	Corsican	Latn	co	1
Chuvash Wikipedia	Chuvash	Latn	cv	1
Divehi Wikipedia	Divehi	Thaa	dv	1
Dutch Low Saxon Wikipedia	Dutch Low Saxon	Latn	nds-nl	1
Faroese Wikipedia	Faroese	Latn	fo	1
Friulian Wikipedia	Friulian	Latn	fur	1
Gilaki Wikipedia	Gilaki	Perso	glk	1
Gujarati Wikipedia	Gujarati	Gujr	gu	1
Ilokano Wikipedia	Ilokano	Latn	ilo	1
Kapampangan Wikipedia	Kapampangan	Latn	pam	1
Kashubian Wikipedia	Kashubian	Latn	csb	1
Khmer Wikipedia	Khmer	Khmr	km	1
Ligurian Wikipedia	Ligurian	Latn	lij	1
Limburgish Wikipedia	Limburgish	Latn	li	1
Manx Wikipedia	Manx	Latn	gv	1
Māori Wikipedia	Māori	Latn	mi	1
Maltese Wikipedia	Maltese	Latn	mt	1
Nāhuatl Wikipedia	Nāhuatl	Latn	nah	1
Northern Sami Wikipedia	Northern Sami	Latn	se	1
Novial Wikipedia	Novial	Latn	nov	1
Quechua Wikipedia	Quechua	Latn	qu	1
Ossetian Wikipedia	Ossetian	Cyrl	os	1
Pangasinan Wikipedia	Pangasinan	Latn	pag	1
Pashto Wikipedia	Pashto	Arab	ps	1
Pennsylvania German Wikipedia	Pennsylvania German	Latn	pdc	1
Romansh Wikipedia	Romansh	Latn	rm	1
Samogitian Wikipedia	Samogitian	Latn	bat-smg	1
Sanskrit Wikipedia	Sanskrit	Deva	sa	1
Scottish Gaelic Wikipedia	Scottish Gaelic	Latn	gd	1
Scots Wikipedia	Scots	Latn	sco	1
Sardinian Wikipedia	Sardinian	Latn	sc	1
Sinhalese Wikipedia	Sinhalese	Sinh	si	1
Tajik Wikipedia	Tajik	Cyrl	tg	1
Tarantino Wikipedia	Tarantino	Latn	roa-tara	1
Tatar Wikipedia	Tatar	Cyrl/Latn	tt	1
Turkmen Wikipedia	Turkmen	Latn	tk	1
Hornjoserbska wikipedija	Upper Sorbian	Latn	hsb	1
Venetian Wikipedia	Venetian	Latn	vec	1
Voro Wikipedia	Võro	Latn	fiu-vro	1
Wu Wikipedia	Wu	Hans	wuu	1
West Flemish Wikipedia	West Flemish	Latn	vls	1
Yoruba Wikipedia	Yoruba	Latn	yo	1
Zazaki Wikipedia	Zazaki	Latn	diq	1
Min Nan Wikipedia	Min Nan	Latn	zh-min-nan	1
Classical Chinese Wikipedia	Classical Chinese	Hant	zh-classical	1
Franco-Provençal Wikipedia	Franco-Provençal/Arpitan	Latn	frp	1
Ladino Wikipedia	Ladino	Latn	lad	1
Bavarian Wikipedia	Bavarian	Latn	bar	1
Central Bicolano Wikipedia	Central_Bicolano	Latn	bcl	1
Cornish Wikipedia	Cornish	Latn	kw	1
Монгол Википедиа	Mongolian	Cyrl	mn	1
Hawaiian Wikipedia	Hawaiian	Latn	haw	1
Anglo-Saxon Wikipedia	Anglo-Saxon	Latn	ang	1
Lingala Wikipedia	Lingala	Latn	ln	1
Interlingue Wikipedia	Interlingue	Latn	ie	1
Wolof Wikipedia	Wolof	Latn	wo	1
Tok Pisin Wikipedia	Tok Pisin	Latn	tpi	1
Tahitian Wikipedia	Tahitian	Latn	ty	1
Crimean Tatar Wikipedia	Crimean Tatar	Latn	crh	1
Lojban Wikipedia	Lojban	Latn	jbo	1
Aymara Wikipedia	Aymara	Latn	ay	1
Zealandic Wikipedia	Zealandic	Latn	zea	1
Emilian-Romagnol Wikipedia	Emilian-Romagnol	Latn	eml	1
Kyrgyz Wikipedia	Kyrgyz	Cyrl	ky	1
Igbo Wikipedia	Igbo	Latn	ig	1
Oriya Wikipedia	Oriya	Orya	or	1
Malagasy Wikipedia	Malagasy	Latn	mg	1
Zamboanga Chavacano Wikipedia	Zamboanga Chavacano	Latn	cbk-zam	1
Kongo Wikipedia	Kongo	Latn	kg	1
Syriac Wikipedia	Syriac	Syrc	arc	1
Vlax Romani Wikipedia	Vlax Romani	Latn/Deva	rmy	1
Guarani Wikipedia	Guarani	Latn	gn	1
Somali Wikipedia	Somali	Latn	so	1
Kabyle Wikipedia	Kabyle	Latn	kab	1
Saterland Frisian Wikipedia	Saterland Frisian	Latn	stq	1
Chechen Wikipedia	Chechen	Cyrl	ce	1
Udmurt Wikipedia	Udmurt	Cyrl	udm	1
Mazandarani Wikipedia	Mazandarani	Perso	mzn	1
Papiamentu Wikipedia	Papiamentu	Latn	pap	1
Old Church Slavonic Wikipedia	Old Church Slavonic	Cyrs	cu	1
Sakha Wikipedia	Sakha	Cyrl	sah	1
Tetum Wikipedia	Tetum	Latn	tet	1
سنڌي وڪيپيڊيا	Sindhi	Arab	sd	1
Lao Wikipedia	Lao	Laoo	lo	1
Bashkir Wikipedia	Bashkir	Cyrl	ba	1
Western Punjabi Wikipedia	Western Punjabi	Shahmukhi	pnb	1
Iniktitut Wikipedia	Inuktitut	Cans/Latn	iu	1
Nauruan Wikipedia	Nauruan	Latn	na	1
Tibetan Wikipedia	Tibetan	Tibt	bo	1
Dolnoserbska wikipedija	Lower Sorbian	Latn	dsb	1
Cherokee Wikipedia	Cherokee	Cher	chr	1
Min Dong Wikipedia	Min Dong	Latn	cdo	1
Hakka Wikipedia	Hakka	Latn	hak	1
Oromo Wikipedia	Oromo	Latn	om	1
Burmese Wikipedia	Burmese	Mymr	my	1
Samoan Wikipedia	Samoan	Latn	sm	1
Ewe Wikipedia	Ewe	Latn	ee	1
Picard Wikipedia	Picard	Latn	pcd	1
Uyghur Wikipedia	Uyghur	Latn/Arab	ug	1
Assamese Wikipedia	Assamese	Beng	as	1
Avar Wikipedia	Avar	Cyrl	av	1
Zulu Wikipedia	Zulu	Latn	zu	1
Navajo Wikipedia	Navajo	Latn	nv	1
Cree Wikipedia	Cree	Cans/Latn	cr	1
Norfolk Wikipedia	Norfolk	Latn	pih	1
Swati Wikipedia	Swati	Latn	ss	1
Venda Wikipedia	Venda	Latn	ve	1
Bislama Wikipedia	Bislama	Latn	bi	1
Kinyarwanda Wikipedia	Kinyarwanda	Latn	rw	1
Chamorro Wikipedia	Chamorro	Latn	ch	1
Egyptian Arabic Wikipedia	Egyptian Arabic	Arab/Latn	arz	1
Xhosa Wikipedia	Xhosa	Latn	xh	1
Greenlandic Wikipedia	Greenlandic	Latn	kl	1
Inupiak Wikipedia	Inupiak	Latn	ik	1
Buginese Wikipedia	Buginese	Bugi	bug	1
Dzongkha Wikipedia	Dzongkha	Tibt	dz	1
Tsonga Wikipedia	Tsonga	Latn	ts	1
Komi Wikipedia	Komi	Cyrl	kv	1
Kalmyk Wikipedia	Kalmyk	Cyrl	xal	1
Sesotho Wikipedia	Sesotho	Latn	st	1
Twi Wikipedia	Twi	Latn	tw	1
Buryat (Russia) Wikipedia	Buryat (Russia)	Cyrl	bxr	1
Akan Wikipedia	Akan	Latn	ak	1
Abkhazian Wikipedia	Abkhazian	Cyrl	ab	1
Chichewa Wikipedia	Chichewa	Latn	ny	1
Kikuyu Wikipedia	Kikuyu	Latn	ki	1
Zhuang Wikipedia	Zhuang	Latn	za	1
Fula Wikipedia	Fula	Latn	ff	1
Luganda Wikipedia	Luganda	Latn	lg	1
Shona Wikipedia	Shona	Latn	sn	1
Hausa Wikipedia	Hausa	Latn	ha	1
Sango Wikipedia	Sango	Latn	sg	1
Cheyenne Wikipedia	Cheyenne	Latn	chy	1
Mirandese Wikipedia	Mirandese	Latn	mwl	1
Eastern Punjabi Wikipedia	Eastern Punjabi	Gurmukhī	pa	1
Mingrelian Wikipedia	Mingrelian	Geor	xmf	1
Lezgi Wikipedia	Lezgian	Cyrl	lez	1
Banjar Wikipedia	Banjar	Latn	bjn	1
Maithili Wikipedia	Maithili	Deva	mai	1
Konknni Wikipedia	Konkani	Deva/Latn	gom	1
Northern Luri Wikipedia	Northern Luri	Perso	lrc	1
Minangkabau Wikipedia	Minangkabau	Latn	min	1
Veps Wikipedia	Veps	Cyrl	vep	1
Northern Sotho Wikipedia	Northern Sotho	Latn	nso	1
Kabardian Wikipedia	Kabardian	Cyrl	kbd	1
Latgalian Wikipedia	Latgalian	Latn	ltg	1
Rusyn Wikipedia	Rusyn	Cyrl	rue	1
Palatine German Wikipedia	Palatine German	Latn	pfl	1
Gagauz Wikipedia	Gagauz	Latn	gag	1
Komi-Permyak Wikipedia	Komi-Permyak	Cyrl	koi	1
Hill Mari Wikipedia	Hill Mari	Cyrl	mrj	1
Meadow Mari Wikipedia	Meadow Mari	Cyrl	mhr	1
Karachay-Balkar Wikipedia	Karachay-Balkar	Cyrl	krc	1
Sorani Kurdish Wikipedia	Sorani Kurdish	Arab	ckb	1
Acehnese Wikipedia	Acehnese	Latn	ace	1
Gan Chinese Wikipedia	Gan Chinese	Hans/Hant	gan	1
Fiji Hindi Wikipedia	Fiji Hindi	Latn	hif	1
Karakalpak Wikipedia	Karakalpak	Latn	kaa	1
Moksha Wikipedia	Moksha	Cyrl	mdf	1
Erzya Wikipedia	Erzya	Cyrl	myv	1
Sranan Tongo Wikipedia	Sranan Tongo	Latn	srn	1
Southern Azerbaijani Wikipedia	Southern Azerbaijani	Perso	azb	1
Adyghe Wikipedia	Adyghe	Cyrl	ady	1
Tulu Wikipedia	Tulu	Knda	tcy	1
Беларуская Вікіпэдыя	Belarusian (Taraškievica)	Cyrl	be-x-old	0
Balochi Wikipedia	Balochi language	Arab	bal	0
Norman Wikipedia	Norman	Latn	nrm	0
Pali Wikipedia	Pali	Deva	pi	0
Tongan Wikipedia	Tongan	Latn	to	0
Moldovan Wikipedia (closed)	Moldovan	Cyrl	mo (closed)	0
Kashmiri Wikipedia	Kashmiri	Arab/Deva	ks	0
Gothic Wikipedia	Gothic	Goth	got	0
Tigrinya Wikipedia	Tigrinya	Ethi	ti	0
Bambara Wikipedia	Bambara	Latn	bm	0
Pontic Wikipedia	Pontic	Grek	pnt	0
Tswana Wikipedia	Tswana	Latn	tn	0
Tumbuku Wikipedia	Tumbuka	Latn	tum	0
Fijian Wikipedia	Fijian	Latn	fj	0
Lak Wikipedia	Lak	Cyrl	lbe	0
Sichuan Yi Wikipedia (closed)	Sichuan Yi	Yiii	ii (closed)	0
Choctaw Wikipedia (closed)	Choctaw	Latn	cho (closed)	0
Kirundi Wikipedia	Kirundi	Latn	rn	0
Marshallese Wikipedia (closed)	Marshallese	Latn	mh (closed)	0
Ndonga Wikipedia (closed)	Ndonga	Latn	ng (closed)	0
Kuanyama Wikipedia (closed)	Kuanyama	Latn	kj (closed)	0
Hiri Motu Wikipedia (closed)	Hiri Motu	Latn	ho (closed)	0
Muscogee Wikipedia (closed)	Muscogee	Latn	mus (closed)	0
Kanuri Wikipedia (closed)	Kanuri	Latn	kr (closed)	0
Afar Wikipedia (closed)	Afar	Latn	aa (closed)	0
Herero Wikipedia (closed)	Herero	Latn	hz (closed)	0
Tuvinian Wikipedia	Tuvan	Cyrl	tyv	0
